aX,aY,aZ,gX,gY,gZ
0.317,-1.072,-2.712,-72.693,-107.91,-20.752
0.382,-1.235,-2.812,46.997,-218.506,4.089
0.193,-1.307,-2.864,115.295,-345.337,38.696
-0.105,-1.136,-2.788,119.141,-480.713,83.13
-0.472,-0.777,-2.514,89.6,-622.62,117.737
-0.947,-0.417,-2.088,55.603,-766.663,127.747
-1.504,-0.152,-1.435,12.085,-904.785,119.69
-2.244,0.205,-0.462,-82.581,-1019.165,107.239
-2.674,0.552,0.831,-204.712,-1074.402,88.623
-2.821,0.345,3.885,-244.446,-1062.744,75.134
-1.882,0.427,4,-187.744,-929.504,85.632
0.207,0.441,4,-130.432,-572.449,73.303
0.001,0.501,4,-27.039,-120.605,31.86
-0.698,0.684,4,153.442,257.385,65.796
-0.892,1.191,3.198,335.937,429.321,120.361
-0.603,1.508,2.599,434.57,439.026,92.468
-0.206,1.306,2.186,410.706,399.963,15.564
-0.045,0.736,1.739,286.377,373.718,-30.579
0.066,0.222,1.288,145.447,351.868,-39.185
0.119,-0.139,0.911,28.442,311.768,-32.654
0.209,-0.377,0.7,-66.467,263.367,-16.846
0.272,-0.569,0.711,-120.605,222.107,1.587
0.367,-0.728,0.757,-134.644,195.74,21.057
0.405,-0.752,0.761,-123.596,183.411,39.307
0.388,-0.601,0.758,-94.727,187.134,57.495
0.39,-0.403,0.724,-72.205,209.534,75.806
0.382,-0.172,0.588,-64.575,234.558,78.43
0.387,-0.018,0.406,-51.208,250.916,64.087
0.416,0.031,0.23,-20.691,254.7,39.551
0.472,-0.013,0.122,16.235,247.925,14.221
0.538,-0.142,0.113,45.044,235.413,-4.211
0.573,-0.306,0.098,49.194,222.9,-11.536
0.568,-0.386,0.077,21.179,213.867,-5.798
0.586,-0.359,0.016,-19.592,206.726,5.249
0.619,-0.285,-0.048,-41.748,196.289,14.465
0.651,-0.208,-0.104,-46.875,183.594,18.127
0.695,-0.13,-0.128,-43.457,171.326,16.968
0.73,-0.1,-0.155,-30.273,161.133,10.864
0.776,-0.116,-0.196,-11.536,151.367,2.625
0.797,-0.148,-0.259,-1.465,141.113,-1.465
0.821,-0.198,-0.312,0.122,129.822,-1.404
0.848,-0.242,-0.347,-5.92,117.554,2.258
0.859,-0.259,-0.381,-19.775,104.797,9.827
0.868,-0.241,-0.404,-36.743,91.309,18.372
0.876,-0.226,-0.411,-48.889,76.843,25.452
0.875,-0.219,-0.402,-55.176,63.11,30.579
0.877,-0.197,-0.392,-58.228,53.162,34.302
0.875,-0.169,-0.382,-57.068,46.814,35.034
0.878,-0.143,-0.373,-48.706,42.419,32.288
0.887,-0.135,-0.366,-35.4,39.673,27.649
0.897,-0.147,-0.37,-23.193,38.696,22.827
0.905,-0.156,-0.387,-16.418,38.696,19.409
0.913,-0.152,-0.41,-13.611,38.147,17.517
0.922,-0.152,-0.435,-12.329,36.194,16.602
0.932,-0.158,-0.461,-10.376,32.776,16.296
0.942,-0.158,-0.476,-6.958,28.076,17.578
0.953,-0.151,-0.49,-5.432,22.4,20.264
0.962,-0.127,-0.476,-3.784,15.503,22.644
0.968,-0.11,-0.443,0.061,8.911,24.048
0.97,-0.111,-0.397,3.906,3.357,24.902
0.97,-0.107,-0.358,6.653,0.427,26.306
0.968,-0.101,-0.332,7.874,-0.183,28.137
0.968,-0.087,-0.319,5.554,0.854,30.64
0.975,-0.06,-0.326,1.526,2.808,33.752
0.98,-0.018,-0.336,-1.099,4.272,35.645
0.989,0.024,-0.342,0.061,3.845,35.95
1,0.06,-0.331,3.54,1.648,33.875
1.001,0.079,-0.313,7.324,-0.732,29.846
1.005,0.085,-0.291,9.827,-2.563,25.452
1.004,0.082,-0.273,10.01,-3.479,21.24
1,0.073,-0.255,7.08,-3.052,17.639
0.991,0.05,-0.235,2.319,-2.136,15.076
0.98,0.035,-0.225,-2.197,-0.671,13.367
0.966,0.034,-0.229,-6.165,1.77,12.268
0.954,0.037,-0.237,-8.606,5.188,10.864
0.948,0.041,-0.239,-8.179,8.118,8.667
0.939,0.037,-0.24,-5.005,10.742,5.432
0.932,0.038,-0.246,-1.587,13.184,2.38
0.926,0.054,-0.255,0.305,15.625,-0.549
0.922,0.063,-0.268,2.563,17.395,-4.517
0.92,0.052,-0.278,5.981,17.456,-9.583
0.92,0.027,-0.283,9.216,16.296,-13.733
0.926,-0.002,-0.287,10.62,14.282,-16.052
0.927,-0.028,-0.289,9.521,11.536,-16.296
0.929,-0.051,-0.287,6.531,8.24,-14.465
0.936,-0.067,-0.278,1.831,5.005,-11.169
0.945,-0.081,-0.268,-1.587,0.977,-7.568
0.949,-0.088,-0.252,-3.601,-3.052,-3.601
0.956,-0.083,-0.232,-4.944,-7.507,0.671
0.959,-0.068,-0.209,-6.531,-10.803,4.822
0.957,-0.046,-0.191,-6.836,-13.062,8.179
0.956,-0.026,-0.176,-5.31,-14.404,9.644
0.957,-0.014,-0.158,-2.93,-14.893,9.766
0.959,-0.008,-0.141,-0.549,-14.465,8.667
0.962,-0.008,-0.131,0.671,-12.878,7.324
0.966,-0.012,-0.125,0.427,-10.559,6.531
0.968,-0.011,-0.127,-1.099,-7.996,5.798
0.972,-0.008,-0.135,-1.404,-6.042,4.578
0.973,-0.015,-0.143,-0.977,-4.761,3.113
0.973,-0.023,-0.148,-0.305,-4.333,2.014
0.977,-0.025,-0.153,-0.366,-3.479,1.282
0.978,-0.023,-0.162,-0.61,-2.93,0.977
0.98,-0.025,-0.169,-0.61,-2.686,0.61
0.981,-0.025,-0.174,-0.244,-2.686,0.305
0.979,-0.017,-0.177,-0.183,-2.563,0.183
0.977,-0.006,-0.183,-0.732,-2.625,-0.244
0.975,0.001,-0.189,-1.587,-2.686,-1.526
0.974,0.005,-0.196,-0.549,-3.052,-3.235
0.972,-0.004,-0.199,0.854,-3.662,-5.249
0.975,-0.011,-0.197,1.099,-3.906,-6.531
0.976,-0.027,-0.194,1.709,-4.883,-7.69
0.975,-0.046,-0.192,0.671,-4.761,-7.812
0.978,-0.048,-0.193,-2.319,-4.639,-6.714
0.979,-0.047,-0.188,-3.113,-4.272,-5.31
0.982,-0.043,-0.185,-2.869,-4.211,-4.7
0.982,-0.035,-0.187,-2.014,-4.028,-4.578
0.986,-0.032,-0.187,-1.282,-3.906,-5.005
,,,,,
0.201,-1.013,-2.581,-39.368,34.607,-112.122
0.017,-1.111,-2.908,-27.954,-66.467,-55.908
-0.127,-1.223,-3.181,5.798,-191.04,-1.343
-0.043,-1.135,-3.227,40.1,-338.623,36.804
-0.221,-0.973,-3.007,29.419,-504.944,88.135
-0.792,-0.571,-2.576,16.602,-687.683,141.602
-1.45,-0.32,-1.982,63.11,-867.004,154.724
-2.209,0.063,-1.226,130.432,-1025.879,115.479
-2.951,0.018,0.249,160.828,-1149.414,46.143
-3.375,-0.281,3.201,-37.842,-1203.918,18.555
-1.945,-1.32,4,-263.611,-1154.663,53.955
-0.235,-0.526,4,-465.515,-862.183,143.25
-0.044,0.568,4,-323.73,-368.713,151.245
-0.097,2.097,4,-19.897,131.287,148.132
-0.2,2.436,4,321.106,421.204,114.624
-0.039,1.88,3.104,510.803,491.15,10.437
0.191,1.252,2.196,424.561,473.328,-91.675
0.309,0.677,1.425,219.727,446.228,-133.301
0.452,0.209,0.82,65.43,408.875,-129.883
0.473,-0.155,0.431,-39.673,348.816,-113.037
0.495,-0.419,0.278,-130.676,279.968,-90.088
0.576,-0.618,0.367,-180.237,222.046,-64.453
0.646,-0.755,0.544,-174.927,184.265,-38.696
0.652,-0.839,0.7,-136.841,172.18,-18.188
0.627,-0.721,0.648,-104.126,185.852,-0.61
0.572,-0.548,0.448,-82.397,210.754,17.822
0.584,-0.352,0.244,-64.026,231.323,22.827
0.548,-0.274,0.063,-56.03,241.028,17.029
0.552,-0.241,-0.142,-52.795,236.267,7.202
0.583,-0.275,-0.219,-26.672,217.651,0.916
0.605,-0.328,-0.259,-15.442,196.472,1.465
0.609,-0.363,-0.288,-35.889,177.002,7.629
0.607,-0.353,-0.303,-65.857,159.424,15.869
0.611,-0.317,-0.312,-94.421,143.555,24.048
0.625,-0.258,-0.338,-111.023,129.456,28.687
0.639,-0.219,-0.347,-117.859,116.821,27.771
0.655,-0.175,-0.356,-109.985,104.797,23.315
0.689,-0.162,-0.337,-79.895,92.59,14.465
0.715,-0.18,-0.305,-41.992,81.604,4.395
0.738,-0.217,-0.286,-8.728,73.12,-2.563
0.762,-0.237,-0.284,11.169,67.383,-6.409
0.782,-0.258,-0.297,17.639,63.171,-7.324
0.801,-0.275,-0.328,10.742,59.998,-5.249
0.826,-0.253,-0.368,-5.493,56.152,-1.343
0.84,-0.237,-0.398,-19.958,50.293,1.282
0.854,-0.218,-0.408,-28.809,42.175,3.052
0.862,-0.21,-0.405,-29.48,33.264,2.441
0.873,-0.208,-0.397,-23.621,24.597,0.366
0.885,-0.215,-0.374,-16.968,15.686,-2.258
0.892,-0.245,-0.335,-7.996,7.08,-4.761
0.903,-0.277,-0.301,0.366,1.221,-5.371
0.913,-0.29,-0.277,4.944,-1.221,-3.662
0.919,-0.283,-0.26,4.7,-1.648,-0.671
0.925,-0.272,-0.247,3.418,-0.427,2.625
0.922,-0.254,-0.249,0.61,2.808,6.165
0.924,-0.234,-0.264,-1.648,6.531,8.606
0.919,-0.22,-0.262,2.014,9.033,9.155
0.914,-0.224,-0.267,8.362,10.437,8.789
0.915,-0.235,-0.28,12.024,10.315,8.972
0.916,-0.245,-0.294,13.184,8.362,10.681
0.913,-0.247,-0.302,12.146,4.089,14.832
0.91,-0.223,-0.301,9.888,-0.671,20.996
0.916,-0.203,-0.289,7.629,-5.676,28.503
0.916,-0.146,-0.273,3.479,-9.583,35.828
0.927,-0.076,-0.264,1.831,-11.719,39.734
0.94,-0.018,-0.232,6.226,-12.756,38.452
0.949,0.007,-0.202,14.343,-11.658,32.776
0.951,0.001,-0.171,22.217,-8.667,24.048
0.973,-0.041,-0.15,26.917,-4.272,14.709
0.988,-0.106,-0.137,26.978,0.671,8.057
0.991,-0.16,-0.156,21.118,6.958,6.042
0.989,-0.169,-0.196,11.902,14.526,7.324
0.992,-0.152,-0.234,5.127,20.63,9.277
0.992,-0.137,-0.27,4.211,23.682,10.559
0.993,-0.132,-0.301,7.019,24.719,10.864
0.994,-0.119,-0.326,10.376,24.414,11.292
0.995,-0.104,-0.346,11.719,23.254,11.292
0.991,-0.096,-0.361,12.756,21.423,10.559
0.991,-0.093,-0.368,13.977,18.982,9.094
0.988,-0.094,-0.371,15.259,16.357,7.446
0.985,-0.098,-0.372,15.503,14.16,5.859
0.984,-0.098,-0.366,16.113,12.207,4.944
0.98,-0.102,-0.36,17.639,10.254,4.272
0.981,-0.098,-0.355,18.921,8.606,3.784
0.98,-0.103,-0.352,18.982,6.47,3.601
0.977,-0.122,-0.358,17.395,4.15,4.456
0.975,-0.125,-0.361,12.634,1.77,6.775
0.97,-0.114,-0.356,7.935,-0.122,9.766
0.969,-0.094,-0.342,4.456,-1.648,11.902
0.969,-0.073,-0.325,3.174,-3.052,12.573
0.964,-0.064,-0.306,4.211,-4.211,11.902
0.964,-0.063,-0.293,6.287,-4.761,10.742
0.958,-0.054,-0.282,6.592,-4.089,9.827
0.953,-0.039,-0.279,5.249,-2.502,8.85
0.948,-0.024,-0.282,3.052,-0.977,7.324
0.945,-0.012,-0.282,1.892,-0.549,5.127
