aX,aY,aZ,gX,gY,gZ
0.998,-0.088,-0.088,-0.183,8.24,27.344
1.016,-0.101,-0.08,13.672,4.578,18.616
1.022,-0.11,-0.066,25.208,1.648,10.315
1.035,-0.118,-0.056,26.672,0.244,5.615
1.04,-0.127,-0.035,24.719,0.305,1.465
1.04,-0.143,-0.011,21.606,2.136,-0.61
1.036,-0.176,0.011,22.034,4.639,-1.526
1.026,-0.22,0.016,23.743,8.545,-0.793
1.018,-0.239,0,20.691,14.282,2.563
1.007,-0.23,-0.035,12.451,20.325,8.667
0.996,-0.2,-0.081,0.244,25.635,15.747
0.99,-0.154,-0.124,-7.507,28.931,20.813
0.984,-0.123,-0.159,-5.798,28.625,22.644
0.982,-0.105,-0.187,1.709,26.367,22.156
0.981,-0.087,-0.206,11.169,22.949,21.057
0.982,-0.08,-0.21,18.982,17.822,19.348
0.98,-0.083,-0.201,25.146,12.085,18.005
0.975,-0.083,-0.191,29.358,7.385,17.517
0.962,-0.077,-0.192,30.64,4.211,17.212
0.954,-0.072,-0.17,30.334,2.502,16.907
0.947,-0.065,-0.158,25.085,2.319,16.907
0.939,-0.065,-0.152,16.785,3.357,16.541
0.934,-0.065,-0.147,10.925,4.761,15.564
0.931,-0.075,-0.13,7.324,6.348,14.648
0.937,-0.085,-0.129,2.991,9.583,13.611
0.946,-0.089,-0.137,1.038,12.573,12.39
0.952,-0.093,-0.14,1.282,14.465,11.536
0.964,-0.09,-0.151,3.845,15.564,10.742
0.974,-0.082,-0.162,7.263,15.93,9.705
0.977,-0.079,-0.177,8.728,15.991,8.911
0.975,-0.067,-0.192,8.179,16.296,8.606
0.976,-0.052,-0.206,8.057,16.541,7.08
0.969,-0.052,-0.217,10.315,16.113,4.517
0.966,-0.057,-0.228,13.245,15.259,1.831
0.962,-0.065,-0.239,13.428,14.282,-0.244
0.96,-0.079,-0.24,15.32,12.329,-2.197
0.966,-0.102,-0.234,18.25,9.827,-3.54
0.964,-0.129,-0.23,19.226,7.751,-3.296
0.964,-0.142,-0.235,17.029,6.592,-1.526
0.971,-0.133,-0.24,11.414,5.859,0.671
0.974,-0.126,-0.235,7.507,4.333,3.174
0.977,-0.119,-0.227,7.568,2.502,5.31
0.979,-0.101,-0.22,8.057,1.343,6.714
0.978,-0.086,-0.214,7.141,0.671,7.141
0.979,-0.079,-0.208,6.958,-0.061,7.08
0.979,-0.08,-0.204,6.897,-0.549,6.714
0.974,-0.076,-0.205,5.859,-1.16,6.47
0.97,-0.064,-0.2,3.906,-2.014,6.592
0.968,-0.052,-0.192,3.235,-2.869,5.981
0.967,-0.054,-0.176,4.456,-3.784,4.822
0.969,-0.068,-0.16,7.568,-4.272,3.601
0.971,-0.07,-0.146,8.972,-3.479,3.174
0.974,-0.073,-0.13,8.301,-2.319,3.052
0.982,-0.083,-0.12,7.812,-0.671,3.357
0.982,-0.081,-0.124,7.08,1.282,4.333
0.982,-0.062,-0.134,5.31,3.906,4.822
0.984,-0.045,-0.142,5.432,5.92,4.456
0.986,-0.033,-0.151,7.019,7.385,2.93
0.989,-0.026,-0.157,8.85,7.935,0.854
0.988,-0.029,-0.159,10.742,8.179,-0.61
0.988,-0.029,-0.158,12.39,8.484,-1.831
0.988,-0.025,-0.154,12.146,9.033,-3.296
0.984,-0.024,-0.155,10.254,9.827,-4.639
0.987,-0.03,-0.16,8.362,10.559,-6.165
0.984,-0.051,-0.173,6.836,10.925,-7.263
0.983,-0.067,-0.185,5.066,10.559,-7.324
0.983,-0.075,-0.192,2.808,9.766,-6.226
0.986,-0.082,-0.197,1.343,8.423,-4.7
0.983,-0.089,-0.204,1.16,7.324,-2.808
0.977,-0.089,-0.215,0.671,6.287,-0.732
0.973,-0.069,-0.221,-0.854,5.249,0.793
0.972,-0.044,-0.216,-0.977,3.906,1.465
0.969,-0.03,-0.212,2.136,3.296,0.671
0.969,-0.03,-0.205,5.554,2.869,-1.221
0.967,-0.042,-0.197,7.446,2.869,-3.723
0.968,-0.055,-0.191,7.446,3.174,-5.615
,,,,,
0.247,-1.351,-1.815,-115.54,-19.653,-53.955
0.21,-1.739,-2.231,-112.793,-74.951,-2.747
0.164,-1.894,-2.416,-63.66,-160.95,66.895
-0.009,-1.775,-2.32,34.79,-276.489,145.691
-0.282,-1.459,-2.103,171.326,-412.476,209.839
-0.589,-1.04,-1.845,301.086,-564.148,245.117
-1.097,-0.518,-1.396,358.398,-724.548,253.906
-1.626,0.149,-0.694,319.885,-874.512,240.417
-1.791,0.781,0.39,200.562,-979.431,196.838
-1.729,1.114,1.86,47.668,-1016.541,130.676
-1.853,1.677,4,-30.029,-974.243,68.42
-1.377,0.926,4,33.997,-797.363,-26.672
0.422,-0.262,4,51.697,-415.527,-117.371
0.424,-0.251,4,21.729,4.333,-120.056
0.032,0.196,4,134.583,284.302,-38.513
0.027,0.917,3.189,253.357,385.254,34.485
0.286,1.276,2.271,259.521,385.742,25.574
0.483,1.091,1.479,166.748,365.54,-25.696
0.558,0.582,0.868,73.303,345.886,-67.2
0.558,0.089,0.519,14.282,323.486,-87.28
0.6,-0.207,0.291,-16.907,289.062,-86.67
0.638,-0.468,0.248,-28.503,252.197,-74.585
0.639,-0.567,0.127,-45.715,226.868,-57.922
0.626,-0.673,0.184,-23.254,195.251,-42.725
0.645,-0.769,0.223,16.174,175.72,-27.222
0.644,-0.796,0.199,33.264,175.171,-9.46
0.624,-0.755,0.12,27.832,184.204,7.446
0.588,-0.679,0.005,14.404,189.514,24.597
0.581,-0.573,-0.106,-7.202,188.965,41.138
0.587,-0.451,-0.186,-31.677,183.96,52.307
0.579,-0.377,-0.257,-51.208,174.316,55.847
0.59,-0.3,-0.276,-63.538,160.278,55.298
0.651,-0.225,-0.292,-58.167,142.029,50.171
0.679,-0.217,-0.294,-51.086,122.559,43.884
0.711,-0.186,-0.247,-32.043,101.868,37.17
0.754,-0.187,-0.187,-11.658,82.947,30.212
0.788,-0.21,-0.116,9.094,67.2,24.658
0.821,-0.242,-0.046,22.339,57.251,21.301
0.845,-0.27,-0.003,24.17,52.795,21.973
0.867,-0.258,0.01,16.541,52.002,25.818
0.888,-0.207,-0.011,4.333,52.734,29.358
0.91,-0.145,-0.052,-4.639,52.49,30.09
0.928,-0.102,-0.089,-7.141,49.377,26.978
0.941,-0.089,-0.112,-5.127,43.701,21.301
0.961,-0.087,-0.12,-0.305,36.438,14.709
0.969,-0.112,-0.113,5.676,29.907,7.568
0.98,-0.133,-0.101,8.118,25.452,2.625
0.987,-0.162,-0.084,8.789,22.644,-0.061
0.991,-0.191,-0.054,5.859,21.606,-1.404
0.994,-0.227,-0.017,2.197,22.522,-1.526
1.002,-0.255,-0.003,-0.671,25.879,-0.244
1.002,-0.26,-0.007,-5.188,30.212,2.991
0.999,-0.25,-0.039,-7.446,33.752,7.324
1.005,-0.225,-0.071,-6.47,36.316,11.047
1.001,-0.192,-0.104,-4.15,37.048,13.733
1.001,-0.165,-0.124,-0.732,35.767,15.625
1.002,-0.151,-0.135,3.723,33.63,16.113
0.999,-0.142,-0.147,5.615,31.616,16.113
0.991,-0.133,-0.154,5.188,29.236,16.235
0.984,-0.126,-0.161,3.906,27.039,15.747
0.977,-0.109,-0.166,2.197,24.231,14.832
0.967,-0.111,-0.146,2.441,20.874,12.878
0.959,-0.145,-0.122,5.981,17.883,11.292
0.956,-0.158,-0.111,7.141,17.517,11.78
0.953,-0.157,-0.11,4.578,19.409,13.184
0.946,-0.149,-0.112,1.526,21.973,15.381
0.948,-0.129,-0.126,-0.977,23.743,17.456
0.943,-0.105,-0.14,-1.953,24.902,18.433
0.941,-0.085,-0.155,-1.038,25.818,18.372
0.945,-0.069,-0.171,0.183,26.184,17.273
0.949,-0.057,-0.186,0.244,26.123,15.198
0.945,-0.061,-0.19,2.441,24.536,13
0.949,-0.074,-0.193,5.981,22.4,10.925
0.951,-0.081,-0.201,4.944,21.301,9.583
0.951,-0.084,-0.215,1.648,20.264,9.216
0.953,-0.08,-0.223,-0.427,18.921,9.277
0.956,-0.083,-0.223,1.587,17.029,8.423
0.959,-0.093,-0.22,6.165,14.771,7.324
0.963,-0.093,-0.215,8.972,13.367,6.531
0.962,-0.094,-0.199,11.047,12.146,6.104
0.966,-0.113,-0.179,13.672,11.841,5.676
0.968,-0.131,-0.169,13.184,13.55,6.775
0.973,-0.123,-0.175,7.324,15.93,9.155
0.975,-0.109,-0.189,2.075,17.822,11.475
0.979,-0.096,-0.205,-0.061,18.127,13.123
0.981,-0.084,-0.216,-0.732,17.456,13.977
0.982,-0.076,-0.219,-1.16,15.808,14.709
0.983,-0.061,-0.219,0.305,13.916,14.954
0.981,-0.051,-0.216,1.343,12.756,14.465
0.977,-0.045,-0.214,1.831,12.085,12.939
0.973,-0.039,-0.215,1.709,11.963,10.864
0.972,-0.032,-0.213,2.197,12.024,8.423
0.968,-0.048,-0.205,3.601,12.512,5.554
0.958,-0.078,-0.19,5.31,14.16,3.967
0.953,-0.092,-0.18,4.517,17.395,3.601
0.954,-0.094,-0.185,3.357,21.423,3.967
0.954,-0.087,-0.198,2.197,25.269,4.395
0.954,-0.076,-0.22,2.136,28.137,4.761
0.956,-0.066,-0.241,2.319,29.602,4.7
0.96,-0.06,-0.266,3.235,29.358,4.028
0.959,-0.06,-0.286,2.93,27.527,3.357
0.957,-0.069,-0.295,2.319,24.841,3.113
0.958,-0.077,-0.298,2.625,21.973,3.296
0.954,-0.079,-0.304,2.808,19.287,3.967
0.948,-0.078,-0.307,1.831,17.151,4.944
0.943,-0.075,-0.309,1.709,15.625,5.676
0.943,-0.074,-0.308,2.258,14.16,6.104
0.942,-0.077,-0.296,4.15,12.573,6.47
0.939,-0.082,-0.288,5.127,11.841,7.08
0.938,-0.073,-0.289,1.831,11.902,8.362
0.937,-0.06,-0.296,-2.441,11.841,9.094
0.942,-0.047,-0.305,-3.418,11.108,9.033
0.942,-0.047,-0.312,-2.869,9.521,8.057
0.943,-0.046,-0.318,-2.686,7.935,7.202
0.941,-0.039,-0.318,-2.747,6.592,6.348
0.938,-0.037,-0.312,-3.174,5.432,5.432
0.931,-0.037,-0.305,-4.395,4.761,4.028
0.925,-0.037,-0.305,-4.7,5.005,2.502
0.922,-0.035,-0.3,-4.395,5.859,0.732
,,,,,
-0.233,-1.454,-2.404,-77.637,139.16,-200.684
-0.11,-1.714,-2.954,-91.003,67.444,-153.381
-0.053,-1.816,-3.172,-60.547,-49.194,-81.36
-0.072,-1.737,-3.176,41.626,-195.129,4.211
-0.203,-1.548,-2.937,185.547,-356.812,82.458
-0.419,-1.252,-2.533,282.227,-521.179,141.968
-0.691,-0.962,-2.107,316.772,-685.303,174.744
-1.066,-0.65,-1.53,286.865,-842.529,190.857
-1.659,-0.484,-0.72,171.875,-977.722,199.951
-2.005,-0.302,0.582,-58.044,-1056.152,224.06
-2.174,-0.466,2.913,-324.951,-1053.772,278.931
-1.48,-0.387,4,-545.288,-935.486,377.625
-0.154,0.699,4,-562.256,-642.822,438.782
0.26,2.383,4,-345.276,-209.717,400.513
0.479,3.826,4,-4.517,177.429,275.085
0.462,3.989,3.477,229.431,375.122,99.304
0.448,2.946,2.417,326.416,400.696,-72.632
0.578,2.001,1.768,306.641,369.08,-179.565
0.6,1.375,1.297,190.186,349.548,-223.511
0.539,0.811,0.808,69.641,348.511,-230.164
0.452,0.407,0.324,-21.545,348.45,-217.041
0.368,0.072,-0.032,-83.313,323.608,-200.195
0.39,-0.209,-0.218,-108.215,282.288,-185.364
0.362,-0.663,-0.177,-91.858,238.037,-166.382
0.357,-0.888,-0.407,-64.636,208.557,-138.367
0.374,-0.949,-0.487,-42.847,187.622,-105.347
0.348,-0.893,-0.47,-12.634,172.852,-80.688
0.453,-0.789,-0.482,-0.305,159.973,-55.786
0.46,-0.73,-0.54,-0.061,142.029,-26.855
0.47,-0.636,-0.622,-14.404,126.831,1.77
0.513,-0.511,-0.701,-36.804,112.427,24.353
0.554,-0.4,-0.77,-62.866,95.642,38.33
0.617,-0.303,-0.8,-81.97,74.158,44.25
0.665,-0.23,-0.773,-87.524,47.363,43.213
0.707,-0.184,-0.68,-73.669,18.677,36.926
0.754,-0.166,-0.552,-45.105,-6.775,27.344
0.806,-0.145,-0.417,-14.221,-26.306,16.052
0.841,-0.126,-0.277,10.132,-39.856,4.028
0.876,-0.114,-0.137,32.959,-47.424,-6.958
0.921,-0.137,-0.013,58.838,-50.11,-18.005
0.974,-0.212,0.05,75.134,-47.424,-25.574
1.026,-0.245,0.094,68.909,-40.771,-25.269
1.054,-0.239,0.089,47.363,-31.372,-17.883
1.083,-0.237,0.082,24.353,-21.179,-8.423
1.09,-0.207,0.057,3.174,-10.681,0.122
1.093,-0.143,0.026,-13.977,-2.197,6.958
1.096,-0.091,-0.009,-18.799,3.235,8.423
1.093,-0.063,-0.044,-14.771,7.08,5.554
1.083,-0.056,-0.065,-8.118,9.766,1.465
1.073,-0.065,-0.078,-3.113,11.902,-2.258
1.065,-0.078,-0.093,0.183,13.733,-5.92
1.056,-0.099,-0.114,1.16,14.587,-7.996
1.042,-0.111,-0.134,1.221,14.587,-8.118
1.027,-0.125,-0.141,2.563,13.916,-7.202
1.016,-0.134,-0.148,2.014,13.733,-4.639
1.004,-0.141,-0.168,-2.258,13.977,-1.221
0.991,-0.144,-0.185,-6.958,14.404,2.747
0.973,-0.139,-0.197,-11.23,14.343,7.568
0.953,-0.126,-0.198,-17.639,14.893,12.573
0.945,-0.096,-0.195,-22.949,16.418,16.357
0.937,-0.071,-0.198,-22.156,17.761,16.785
0.926,-0.056,-0.207,-19.775,18.86,15.076
0.923,-0.047,-0.213,-16.479,18.982,12.085
0.922,-0.048,-0.226,-12.512,18.799,8.179
0.926,-0.047,-0.241,-9.338,18.555,4.028
0.925,-0.057,-0.254,-6.714,17.883,0.305
0.931,-0.064,-0.255,-4.028,16.541,-2.441
0.935,-0.086,-0.247,-1.221,14.526,-4.883
0.935,-0.131,-0.244,-0.122,12.756,-5.798
0.937,-0.163,-0.242,-3.174,12.512,-3.906
0.934,-0.179,-0.23,-8.667,12.39,-0.305
0.936,-0.183,-0.23,-14.771,12.695,4.211
0.94,-0.174,-0.242,-20.996,13.733,9.094
0.943,-0.147,-0.254,-25.879,14.954,12.39
0.945,-0.118,-0.274,-27.466,15.32,13.916
0.942,-0.101,-0.292,-24.475,14.526,12.695
0.948,-0.097,-0.301,-19.409,13,9.46
0.95,-0.104,-0.299,-14.099,11.292,5.432
0.952,-0.121,-0.293,-8.057,9.949,1.709
0.954,-0.144,-0.28,-0.977,8.728,-0.793
0.96,-0.168,-0.27,5.188,7.69,-2.136
0.96,-0.179,-0.266,6.287,7.324,-1.465
0.964,-0.181,-0.267,4.944,7.629,-0.122
0.967,-0.176,-0.273,2.747,8.057,1.16
0.965,-0.171,-0.28,-0.61,8.362,3.418
0.965,-0.161,-0.286,-4.15,8.362,5.554
0.965,-0.142,-0.288,-6.348,7.935,6.47
0.963,-0.122,-0.281,-6.531,7.324,6.104
0.964,-0.106,-0.274,-5.005,6.653,4.517
0.966,-0.093,-0.266,-2.258,6.226,1.709
0.967,-0.087,-0.258,3.052,6.409,-1.709
0.964,-0.087,-0.262,9.277,6.775,-6.165
0.965,-0.073,-0.253,15.869,8.057,-11.292
0.96,-0.093,-0.245,24.963,9.033,-17.151
0.956,-0.124,-0.241,31.921,10.376,-21.118
0.95,-0.165,-0.235,31.372,13.306,-21.729
0.947,-0.182,-0.228,22.461,17.029,-19.104
0.945,-0.191,-0.233,11.597,20.813,-15.137
0.943,-0.189,-0.239,2.075,23.682,-10.498
0.947,-0.18,-0.234,-4.456,25.696,-6.042
0.946,-0.184,-0.239,-10.193,28.687,-2.075
0.935,-0.171,-0.255,-19.043,31.494,1.343
0.923,-0.161,-0.276,-25.208,33.386,2.869
0.904,-0.156,-0.304,-28.748,35.095,3.357
0.883,-0.232,-0.342,-36.926,37.17,4.639
0.919,-0.154,-0.338,-60.791,39.246,10.01
0.934,-0.074,-0.367,-71.167,39.124,11.963
0.912,-0.142,-0.38,-51.636,34.058,5.249
0.922,-0.134,-0.33,-40.527,29.785,1.282
0.936,-0.089,-0.345,-40.1,28.748,-0.061
0.924,-0.135,-0.36,-19.714,25.024,-6.226
0.922,-0.172,-0.341,-3.662,21.423,-10.01
0.92,-0.191,-0.342,-0.549,19.897,-10.254
0.919,-0.196,-0.363,-3.418,19.531,-8.362
0.925,-0.181,-0.393,-4.7,18.799,-6.348
0.933,-0.126,-0.413,0.366,15.137,-6.287
0.929,-0.179,-0.378,18.799,7.935,-10.193
0.925,-0.223,-0.357,24.475,4.211,-10.437
0.923,-0.219,-0.367,16.113,3.723,-6.287
,,,,,
-0.003,-1.153,-1.962,46.631,40.649,-146.667
0.017,-1.52,-2.392,103.027,-17.7,-122.559
0.003,-1.743,-2.695,178.406,-107.849,-68.176
-0.086,-1.72,-2.809,241.516,-222.961,11.78
-0.209,-1.512,-2.743,284.546,-358.398,93.567
-0.401,-1.128,-2.435,295.349,-513.672,156.677
-0.666,-0.714,-1.895,265.93,-674.438,194.763
-0.992,-0.287,-1.03,123.169,-812.744,223.083
-1.302,0.031,0.205,-62.439,-906.799,249.207
-1.547,0.2,1.833,-193.542,-940.796,266.052
-1.14,0.613,3.913,-265.503,-886.23,277.832
-0.33,1.247,4,-251.526,-721.863,265.137
0.666,1.62,4,-172.852,-413.818,217.285
0.847,1.878,4,-34.973,-32.288,132.019
0.627,2.224,4,142.883,245.361,37.842
0.58,2.195,2.943,254.272,356.567,-31.616
0.652,1.793,2.037,261.353,364.38,-80.994
0.707,1.253,1.408,194.031,343.628,-123.291
0.729,0.697,0.856,100.83,332.458,-148.01
0.692,0.307,0.407,18.616,330.688,-144.653
0.651,0.044,0.029,-44.128,319.702,-125.793
0.546,-0.112,-0.244,-94.604,295.166,-111.267
0.571,-0.236,-0.419,-122.192,263.428,-100.464
0.503,-0.381,-0.438,-103.333,225.403,-98.145
0.488,-0.477,-0.485,-48.035,185.486,-93.872
0.526,-0.636,-0.43,-5.188,156.189,-85.327
0.527,-0.726,-0.406,12.024,135.193,-65.308
0.544,-0.73,-0.413,2.197,123.169,-34.607
0.542,-0.658,-0.458,-25.208,116.821,-4.028
0.555,-0.512,-0.514,-58.777,111.084,20.02
0.572,-0.377,-0.569,-82.092,100.403,33.02
0.615,-0.279,-0.585,-92.896,85.205,36.011
0.654,-0.228,-0.581,-92.957,68.481,31.616
0.702,-0.206,-0.547,-79.895,50.537,22.156
0.752,-0.209,-0.486,-60.608,32.593,11.841
0.793,-0.235,-0.389,-40.283,16.663,4.456
0.831,-0.265,-0.279,-24.597,4.578,1.099
0.867,-0.276,-0.177,-15.259,-1.465,1.587
0.905,-0.274,-0.107,-12.695,-2.869,4.272
0.938,-0.256,-0.081,-15.686,-1.282,8.606
0.965,-0.228,-0.092,-23.132,1.465,12.939
0.989,-0.183,-0.117,-30.579,4.578,16.052
1.009,-0.13,-0.132,-33.447,6.47,16.235
1.029,-0.094,-0.143,-30.701,6.409,12.939
1.041,-0.08,-0.153,-26.245,5.676,7.385
1.048,-0.08,-0.162,-22.156,5.188,1.343
1.05,-0.08,-0.156,-17.517,4.272,-4.211
1.045,-0.095,-0.135,-10.437,3.662,-9.644
1.044,-0.125,-0.117,-3.845,4.272,-13.672
1.037,-0.158,-0.096,-3.418,7.019,-14.771
1.029,-0.179,-0.083,-4.822,10.742,-13.123
1.018,-0.194,-0.088,-6.47,14.771,-9.949
1.003,-0.199,-0.105,-9.583,19.409,-5.615
0.997,-0.191,-0.125,-11.719,25.085,-1.16
0.987,-0.176,-0.149,-12.512,30.151,1.221
0.975,-0.159,-0.179,-12.329,34.18,2.38
0.971,-0.146,-0.217,-11.23,36.804,2.258
0.966,-0.136,-0.255,-7.385,37.109,1.038
0.961,-0.139,-0.274,-0.977,35.339,-0.427
0.96,-0.141,-0.285,5.493,32.898,-1.282
0.955,-0.137,-0.289,9.277,29.297,-1.953
0.951,-0.142,-0.289,9.521,25.574,-2.136
0.943,-0.146,-0.296,5.127,23.01,-1.526
0.933,-0.138,-0.303,-2.563,21.057,-0.916
0.93,-0.132,-0.304,-7.751,19.226,-0.916
0.932,-0.138,-0.302,-7.507,17.334,-1.465
0.929,-0.156,-0.292,-7.751,14.832,-2.014
0.933,-0.173,-0.274,-10.864,12.268,-1.282
0.937,-0.177,-0.255,-15.259,10.132,0.183
0.941,-0.178,-0.242,-18.555,8.972,1.77
0.944,-0.169,-0.238,-20.447,8.667,3.113
0.938,-0.16,-0.237,-19.836,9.46,3.357
0.932,-0.152,-0.242,-16.907,10.742,2.441
0.929,-0.149,-0.251,-13.672,12.634,1.221
0.925,-0.143,-0.27,-12.268,14.893,-0.183
0.921,-0.143,-0.287,-9.277,15.93,-2.563
0.919,-0.159,-0.297,-2.075,15.503,-5.737
0.92,-0.179,-0.307,4.761,15.442,-7.935
0.923,-0.193,-0.305,8.118,15.32,-8.972
0.922,-0.219,-0.295,7.812,15.808,-8.423
0.917,-0.233,-0.292,1.709,18.616,-5.737
0.923,-0.222,-0.303,-5.981,22.949,-2.93
0.916,-0.207,-0.312,-9.888,26.062,-1.77
0.914,-0.198,-0.33,-7.996,27.832,-2.319
0.911,-0.198,-0.351,-3.235,29.48,-3.967
0.904,-0.204,-0.368,3.418,30.151,-6.104
0.903,-0.214,-0.383,10.193,29.236,-7.629
0.904,-0.228,-0.395,13.916,27.283,-8.179
0.901,-0.242,-0.403,13.062,25.574,-7.141
0.896,-0.249,-0.407,10.742,24.048,-4.761
0.897,-0.248,-0.408,8.911,22.034,-2.197
0.902,-0.242,-0.405,7.751,19.897,0
0.906,-0.23,-0.397,6.714,17.456,2.319
0.913,-0.227,-0.384,6.104,15.137,4.883
0.912,-0.227,-0.378,3.357,13.672,7.629
0.909,-0.219,-0.376,-2.136,13.184,11.047
0.907,-0.201,-0.368,-7.935,12.756,14.221
0.906,-0.174,-0.361,-11.536,12.39,16.052
0.909,-0.16,-0.355,-10.742,11.902,15.686
0.906,-0.156,-0.349,-6.531,11.353,14.221
0.91,-0.148,-0.347,-3.418,11.108,12.695
0.911,-0.147,-0.347,-1.587,11.292,11.047
0.907,-0.138,-0.351,-1.709,12.024,10.315
0.91,-0.125,-0.357,-3.906,12.024,9.338
0.912,-0.116,-0.366,-6.653,11.658,7.629
0.911,-0.112,-0.369,-7.874,11.108,6.104
0.907,-0.114,-0.366,-7.141,10.193,4.517
0.904,-0.13,-0.357,-7.446,9.949,2.991
0.898,-0.144,-0.345,-10.925,11.23,2.38
0.898,-0.147,-0.342,-14.526,13,2.136
0.896,-0.158,-0.343,-14.648,14.709,1.648
0.895,-0.163,-0.353,-14.282,16.785,1.282
0.893,-0.16,-0.361,-12.573,18.188,0.549
0.893,-0.159,-0.367,-8.545,18.677,0.061
0.894,-0.161,-0.377,-4.028,18.982,-0.61
0.891,-0.159,-0.386,-0.732,19.104,-1.221
0.889,-0.155,-0.395,2.075,19.348,-1.831
0.89,-0.153,-0.403,3.845,19.47,-2.93
0.888,-0.144,-0.405,4.822,19.348,-4.333
,,,,,
0.023,-1.273,-1.767,-19.714,-110.291,13.611
-0.028,-1.426,-2.031,8.484,-176.575,62.805
-0.146,-1.421,-2.204,36.682,-262.085,118.042
-0.243,-1.254,-2.269,64.819,-365.723,174.866
-0.326,-1.011,-2.2,108.704,-487.244,222.9
-0.637,-0.673,-1.932,166.748,-624.268,249.146
-1.073,-0.3,-1.567,199.768,-783.936,256.897
-1.632,0.162,-0.909,190.674,-947.815,239.868
-2.296,0.639,0.183,259.521,-1122.742,187.317
-2.205,-1.107,3.658,272.522,-1273.071,97.473
-1.802,-1.99,4,-457.886,-1224.915,188.293
-0.689,-1.331,4,-903.32,-912.72,354.065
-0.478,1.34,4,-885.193,-425.354,456.36
-0.173,3.999,4,-473.328,60.791,431.946
0.084,4,4,145.813,357.849,236.145
0.316,3.609,3.312,684.387,460.571,-59.204
0.243,2.058,2.319,716.37,505.859,-244.446
0.223,0.953,1.48,490.051,504.944,-269.348
0.334,0.669,0.811,251.282,481.079,-224.365
0.338,0.412,-0.039,74.219,438.354,-177.49
0.341,-0.004,-0.581,-34.729,352.051,-149.719
0.461,-0.423,-0.684,-98.022,254.7,-128.113
0.524,-0.702,-0.505,-117.371,175.598,-97.717
0.533,-0.866,-0.24,-94.299,121.277,-56.03
0.586,-0.937,-0.101,-48.34,92.285,-15.747
0.649,-0.875,-0.094,-25.879,92.285,16.846
0.661,-0.638,-0.234,-38.452,107.422,44.006
0.677,-0.302,-0.377,-57.251,118.53,59.753
0.71,-0.038,-0.428,-52.429,117.188,55.908
0.75,0.01,-0.407,-22.522,105.164,34.729
0.768,-0.069,-0.327,3.662,89.966,11.658
0.785,-0.157,-0.22,5.676,78.369,-0.977
0.808,-0.2,-0.091,-14.282,71.35,-3.967
0.84,-0.218,-0.03,-40.1,66.162,-1.282
0.833,-0.229,0.001,-68.298,62.744,3.235
0.81,-0.193,0.001,-87.463,61.218,7.996
0.863,-0.108,0.004,-84.717,58.777,10.437
0.909,-0.043,0.029,-60.364,52.429,5.554
0.963,-0.017,0.057,-22.705,45.471,-4.333
1.007,-0.03,0.078,11.719,39.978,-15.076
1.038,-0.072,0.101,33.081,36.438,-21.79
1.071,-0.115,0.109,32.227,35.95,-21.484
1.091,-0.122,0.098,13.184,37.842,-16.357
1.098,-0.117,0.076,-10.254,40.405,-10.925
1.099,-0.112,0.056,-30.334,43.274,-5.981
1.088,-0.119,0.038,-43.213,46.082,-3.723
1.066,-0.125,0.018,-50.354,49.255,-3.357
1.053,-0.119,-0.009,-53.772,53.65,-4.272
1.023,-0.129,-0.042,-57.861,58.35,-7.019
1.018,-0.121,-0.072,-49.194,61.218,-11.597
1.006,-0.138,-0.095,-34.729,63.66,-18.005
0.998,-0.156,-0.114,-20.63,65.125,-22.888
0.987,-0.173,-0.137,-9.521,65.918,-25.818
0.985,-0.179,-0.161,-7.507,66.04,-25.879
0.977,-0.193,-0.19,-10.132,65.247,-23.499
0.962,-0.204,-0.222,-15.808,63.11,-19.714
0.946,-0.208,-0.243,-25.452,60.364,-14.404
0.93,-0.209,-0.264,-31.799,57.434,-9.399
0.916,-0.211,-0.278,-30.029,53.589,-5.798
0.91,-0.231,-0.277,-25.024,49.5,-3.906
0.897,-0.261,-0.264,-19.653,45.898,-1.892
0.894,-0.276,-0.244,-19.897,44.067,0.977
0.9,-0.256,-0.227,-22.034,44.312,4.272
0.908,-0.233,-0.226,-20.813,44.312,6.409
0.913,-0.214,-0.247,-20.142,44.128,7.263
0.91,-0.201,-0.272,-20.752,43.518,7.019
0.908,-0.189,-0.289,-19.409,41.138,6.348
0.907,-0.187,-0.297,-17.517,38.208,5.249
0.9,-0.196,-0.301,-12.146,35.217,3.357
0.899,-0.21,-0.288,-3.174,32.227,1.953
0.896,-0.224,-0.283,1.282,30.762,2.38
0.894,-0.213,-0.292,-2.686,31.494,4.272
0.897,-0.195,-0.303,-8.484,32.288,5.432
0.9,-0.187,-0.318,-6.775,31.616,4.883
0.905,-0.183,-0.334,0.305,29.846,3.235
0.911,-0.181,-0.344,7.263,27.344,1.16
0.916,-0.181,-0.348,13.184,24.414,-0.488
0.923,-0.181,-0.346,18.372,21.606,-1.77
0.924,-0.193,-0.338,19.165,20.203,-2.808
0.915,-0.198,-0.324,13.428,19.836,-2.686
0.91,-0.198,-0.319,6.531,20.874,-1.831
0.909,-0.189,-0.322,-0.427,22.827,-1.465
0.906,-0.19,-0.322,-5.249,24.78,-1.709
0.907,-0.198,-0.316,-4.822,25.574,-1.465
0.915,-0.21,-0.313,-2.502,26.001,-0.977
0.915,-0.22,-0.317,-2.258,25.574,0.061
0.917,-0.213,-0.329,-5.127,25.33,2.197
